variant,run,initial_planning_time,initial_planning_evaluations,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,0,39.5308587,10000.0,4.8921609,10000.0,44.4230196,20000.0,22.272541,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,1,41.296096600000006,10000.0,4.1727354000000005,10000.0,45.468832000000006,20000.0,20.70996,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,2,40.3932577,10000.0,3.3385229,10000.0,43.7317806,20000.0,21.152105,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,3,41.027722700000005,10000.0,3.4604346,10000.0,44.488157300000005,20000.0,20.296724,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,4,44.9234558,10000.0,3.0844871,10000.0,48.007942899999996,20000.0,19.707699,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,5,39.7653613,10000.0,3.2922363000000003,10000.0,43.0575976,20000.0,20.982086,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,6,39.5253578,10000.0,4.0493446,10000.0,43.5747024,20000.0,21.183886,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,7,39.6061538,10000.0,3.2803135,10000.0,42.8864673,20000.0,19.357702,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,8,48.713786400000004,10000.0,3.7784335000000002,10000.0,52.4922199,20000.0,20.186241,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,9,50.628833900000004,10000.0,3.1193698000000003,10000.0,53.748203700000005,20000.0,20.01074,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,10,38.0782619,10000.0,5.0368727,10000.0,43.115134600000005,20000.0,19.365215,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,11,40.061038100000005,10000.0,3.3197634000000003,10000.0,43.380801500000004,20000.0,20.801939,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,12,42.612076,10000.0,4.3757341,10000.0,46.987810100000004,20000.0,21.179594,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,13,40.798429500000005,10000.0,3.2076039,10000.0,44.00603340000001,20000.0,20.872616,0
