variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;89.97991110000001;13400.0;95.0;3.262506799576661;3.2984845004941286;54.389307900000006;10600.0;144.36921900000002;24000.0;1.5561903466676974;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;62.721028000000004;14100.0;39.0;3.18049611783375;3.1304951684997055;32.029656200000005;4800.0;94.75068420000001;18900.0;1.5860503004493764;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;49.5434002;10600.0;34.0;3.3653279333172628;3.334666400106613;52.857002900000005;9800.0;102.4004031;20400.0;1.6576049954641345;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;90.82042100000001;21500.0;49.0;3.346344974947746;3.2062439083762793;51.006371300000005;11500.0;141.82679230000002;33000.0;1.5628400864459768;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;61.0486348;13500.0;44.0;3.342653636459113;3.3286633954186478;121.5987616;20700.0;182.6473964;34200.0;1.5832456116050555;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;64.30987710000001;15600.0;38.0;3.0561817540159892;3.0789608636681307;37.609163200000005;6600.0;101.9190403;22200.0;1.5225060562631674;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;54.671829100000004;10900.0;55.0;3.2918905221584374;3.1559467676119;48.032705400000005;10700.0;102.70453450000001;21600.0;1.5891608158916548;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;98.2390405;19600.0;35.0;3.431588913191061;3.3645207682521443;46.9619948;9500.0;145.2010353;29100.0;1.576995111040904;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;46.7739533;10300.0;33.0;3.202930756681881;3.1304951684997055;56.8350828;13000.0;103.6090361;23300.0;1.5751151241483863;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;63.1685457;14700.0;36.0;3.0294032334136842;3.2619012860600183;39.599871;6100.0;102.7684167;20800.0;1.5844927528867456;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;64.745406;13100.0;47.0;3.374120827419299;3.352610922848042;43.175349700000005;7600.0;107.9207557;20700.0;1.5656813292274254;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;52.595482800000006;8800.0;49.0;3.0171526107479565;3.117691453623979;36.554845900000004;5900.0;89.15032870000002;14700.0;1.5751151241483863;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;88.6341544;25900.0;26.0;3.385079826547488;3.3645207682521443;49.7247162;7400.0;138.3588706;33300.0;1.5466411236715831;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;49.0941844;7900.0;70.0;2.9335016786709756;3.0397368307141326;55.6798092;9900.0;104.77399360000001;17800.0;1.5437648384851919;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;61.4659507;13900.0;38.0;3.1297852251481335;3.0919249667480613;53.780490500000006;11900.0;115.2464412;25800.0;1.5832456116050555;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;46.845718600000005;9000.0;57.0;3.246574643155498;3.243454948045371;49.0984545;8200.0;95.9441731;17200.0;1.621461008618195;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;65.1660263;9300.0;91.0;3.510126444206959;3.5270384177096794;48.9545303;6300.0;114.1205566;15600.0;1.5666272650679613;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;51.2278146;9100.0;61.0;3.1721006008987516;3.1304951684997055;53.0738508;11700.0;104.3016654;20800.0;1.5832456116050553;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;49.199137300000004;7500.0;58.0;3.039168177294002;3.0397368307141326;48.8302404;7400.0;98.0293777;14900.0;1.575115124148386;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;66.74330140000001;10900.0;63.0;3.2588720308690013;3.249615361854384;59.347005700000004;7000.0;126.09030710000002;17900.0;1.5195840886470005;0
